run_id,run_mode,split_label,split,dataset_id,system_id,corruption_family,corruption_id,corruption_level,corruption_seed,seed_role,corruption_target_space,corruption_config_hash,corruption_manifest_hash,applied_corruption_manifest_path,applied_corruption_manifest_file_sha256,clean_input_bundle_hash,corrupted_input_bundle_hash,input_hash_clean,input_hash_corrupted,score_hash_clean,score_hash_corrupted,feature_mask_hash,failed_specialists,distribution_shift_descriptor,specialist_ids,specialist_count,corrupted_rows,trace_path,trace_sha256,trace_rows,trace_required,trace_format,trace_schema_hash
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001,0.0,1001,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,49270a2f0ea2abdb38611738c3b85b20e6d51c77f4407f05756b1c4a49ae304f,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\applied_manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001.yaml,d6fb740d6fdb64e6b068f5c506503fd73dff6f01b69b4a03823cc843025bf7f3,46085a9cfad1f7e98afea1dcd7f38908d4214dbb76851eba7fa9d002c4fd0bb8,e78d2d9ed64870effafafc5d6e7cf57c6c1ffad4fe0bd149b2cad82a9ee8198b,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,156e2cc7518948f0345381e0d66245f34d34bcefb20f1c7b7ef0deca6d77cfaf,,{},random_forest|gradient_boosted_trees|mlp,3,57,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_traces\phase3_locked_full_v1\traces\veto_mavs\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001.npz,90a9ea48ceb73ae4f25425885e1b8c4f247f99cff7e60f023567bf211db960df,57,True,columnar_npz,21b1de878eaf037345f005fff1b6469ad7a94f7aa4cd17aa2bd9023f0cc75846
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001,0.0,1001,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,49270a2f0ea2abdb38611738c3b85b20e6d51c77f4407f05756b1c4a49ae304f,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\applied_manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001.yaml,d6fb740d6fdb64e6b068f5c506503fd73dff6f01b69b4a03823cc843025bf7f3,46085a9cfad1f7e98afea1dcd7f38908d4214dbb76851eba7fa9d002c4fd0bb8,e78d2d9ed64870effafafc5d6e7cf57c6c1ffad4fe0bd149b2cad82a9ee8198b,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,156e2cc7518948f0345381e0d66245f34d34bcefb20f1c7b7ef0deca6d77cfaf,,{},random_forest|gradient_boosted_trees|mlp,3,57,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_traces\phase3_locked_full_v1\traces\pure_mavs_gc\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1001.npz,bdb63221ebef37568229ff5f8311dd1c33bfae3883735a7a4275433ca275b8b1,57,True,columnar_npz,81654b2ad519fc54cdc450a80bfe42777a85dd05209a5d674ccc550ee036a8e0
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,9da7f7cdd373c100922558a72d74541861f6f5cd9d11b9f53bbbc587be549343,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\applied_manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002.yaml,a63b1a485a9a916a2352dd39c9d99f7ebbd606eca29d66cbdae74fe8bbf73bc4,46085a9cfad1f7e98afea1dcd7f38908d4214dbb76851eba7fa9d002c4fd0bb8,e78d2d9ed64870effafafc5d6e7cf57c6c1ffad4fe0bd149b2cad82a9ee8198b,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,156e2cc7518948f0345381e0d66245f34d34bcefb20f1c7b7ef0deca6d77cfaf,,{},random_forest|gradient_boosted_trees|mlp,3,57,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_traces\phase3_locked_full_v1\traces\veto_mavs\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002.npz,b1a8a2994fb3d16a43ceba02729ae5929fcf7ddbf7bb8b1bc350b953582da96a,57,True,columnar_npz,7349a51db668fe4dbb0dd625f18b60fed0a54df9c54bb4107a3e8a38d685fd29
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002,0.0,1002,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,9da7f7cdd373c100922558a72d74541861f6f5cd9d11b9f53bbbc587be549343,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\applied_manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002.yaml,a63b1a485a9a916a2352dd39c9d99f7ebbd606eca29d66cbdae74fe8bbf73bc4,46085a9cfad1f7e98afea1dcd7f38908d4214dbb76851eba7fa9d002c4fd0bb8,e78d2d9ed64870effafafc5d6e7cf57c6c1ffad4fe0bd149b2cad82a9ee8198b,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,156e2cc7518948f0345381e0d66245f34d34bcefb20f1c7b7ef0deca6d77cfaf,,{},random_forest|gradient_boosted_trees|mlp,3,57,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_traces\phase3_locked_full_v1\traces\pure_mavs_gc\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1002.npz,432daa363b1e4cb990399d7a1f4f5000fa4cabba111025f4b27a5793d2795184,57,True,columnar_npz,0ab14f1d598da0a48b8b12c459986d171a05d25192fcbc78d38894e93bf3eeff
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,dcc824e6fcf6bf01be2cc815e1318252c44727d6ad88db6e878f56bc6ca18692,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\applied_manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003.yaml,2a670ee96761f6a75e69a609acdb0e712e2584ec800a5da3c92713debf065c23,46085a9cfad1f7e98afea1dcd7f38908d4214dbb76851eba7fa9d002c4fd0bb8,e78d2d9ed64870effafafc5d6e7cf57c6c1ffad4fe0bd149b2cad82a9ee8198b,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,156e2cc7518948f0345381e0d66245f34d34bcefb20f1c7b7ef0deca6d77cfaf,,{},random_forest|gradient_boosted_trees|mlp,3,57,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_traces\phase3_locked_full_v1\traces\veto_mavs\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003.npz,95d5875a1ff909d82cd54ebf5d25302106e4ad317e5a62c25ee6d994843131ed,57,True,columnar_npz,34ce15f3f56f00816969d873baeed19bf2a441d5c0f8235a80e0210af330dd9e
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003,0.0,1003,primary,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,dcc824e6fcf6bf01be2cc815e1318252c44727d6ad88db6e878f56bc6ca18692,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\applied_manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003.yaml,2a670ee96761f6a75e69a609acdb0e712e2584ec800a5da3c92713debf065c23,46085a9cfad1f7e98afea1dcd7f38908d4214dbb76851eba7fa9d002c4fd0bb8,e78d2d9ed64870effafafc5d6e7cf57c6c1ffad4fe0bd149b2cad82a9ee8198b,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,156e2cc7518948f0345381e0d66245f34d34bcefb20f1c7b7ef0deca6d77cfaf,,{},random_forest|gradient_boosted_trees|mlp,3,57,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_traces\phase3_locked_full_v1\traces\pure_mavs_gc\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__primary_1003.npz,f6dedca37e9cd477249442b0c21b36ecdcea6ad56183364912b4b720fc767134,57,True,columnar_npz,2e80b343eb44af6bffb4a2088948a26f58f1349af5c1bf6fd38177dab0fd4b9b
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9001,0.0,9001,shadow,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,5144ab8c00cb700543a294a553a74ba512e8c060168d2f1585c1189d05015d14,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\applied_manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9001.yaml,8bb9ba8bbb04bb0ac2b492611b483b42f4c724623cb6a12a530f46600fce5ee8,46085a9cfad1f7e98afea1dcd7f38908d4214dbb76851eba7fa9d002c4fd0bb8,e78d2d9ed64870effafafc5d6e7cf57c6c1ffad4fe0bd149b2cad82a9ee8198b,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,156e2cc7518948f0345381e0d66245f34d34bcefb20f1c7b7ef0deca6d77cfaf,,{},random_forest|gradient_boosted_trees|mlp,3,57,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_traces\phase3_locked_full_v1\traces\veto_mavs\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9001.npz,1bbdd3627fe4da5adb9d44c731c2fc82c81fa4d0e5fa9f69fa88ece00c1db713,57,True,columnar_npz,f2e10ec0320de3657f68467abd8504b9d73dce80643886eda15bc55dc4205c54
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9001,0.0,9001,shadow,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,5144ab8c00cb700543a294a553a74ba512e8c060168d2f1585c1189d05015d14,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\applied_manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9001.yaml,8bb9ba8bbb04bb0ac2b492611b483b42f4c724623cb6a12a530f46600fce5ee8,46085a9cfad1f7e98afea1dcd7f38908d4214dbb76851eba7fa9d002c4fd0bb8,e78d2d9ed64870effafafc5d6e7cf57c6c1ffad4fe0bd149b2cad82a9ee8198b,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,156e2cc7518948f0345381e0d66245f34d34bcefb20f1c7b7ef0deca6d77cfaf,,{},random_forest|gradient_boosted_trees|mlp,3,57,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_traces\phase3_locked_full_v1\traces\pure_mavs_gc\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9001.npz,da6b9a8d7ec3b8877c7b3f254c3fbc7147d14e005151eb7402974c7c757cbede,57,True,columnar_npz,826da727cb9541ae39158894ae0192a5979b41372248cb202ee6cc3d052463b7
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,veto_mavs,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9002,0.0,9002,shadow,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,1cc840786b7137c83569da6e2ab87b0f7bf058d47214b51f9ae85f207164300a,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\applied_manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9002.yaml,c31308af79b8b59f6f7ae9765dca877fa555feaa383236315cb852f9a18bef9f,46085a9cfad1f7e98afea1dcd7f38908d4214dbb76851eba7fa9d002c4fd0bb8,e78d2d9ed64870effafafc5d6e7cf57c6c1ffad4fe0bd149b2cad82a9ee8198b,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,156e2cc7518948f0345381e0d66245f34d34bcefb20f1c7b7ef0deca6d77cfaf,,{},random_forest|gradient_boosted_trees|mlp,3,57,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_traces\phase3_locked_full_v1\traces\veto_mavs\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9002.npz,1c6f96a70be7c72339c1b996da81438c3f52c5588749e43fa13bdfb62ec29a84,57,True,columnar_npz,65a790b06a0407cfa43edffa8efe9efc5a08d4370d462928c95cf33fd7857de8
phase3_locked_full_v1,exploratory,locked,locked_benchmark,breast_cancer_wisconsin,pure_mavs_gc,feature_noise,breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9002,0.0,9002,shadow,features,865e78edeedf4274d23488d0719344e848026f7bf9e6d0448e60440187111c70,1cc840786b7137c83569da6e2ab87b0f7bf058d47214b51f9ae85f207164300a,C:\Users\Saif malik\MAVS-Ch10B\results\stress_runs\phase3_locked_full_v1\applied_manifests\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9002.yaml,c31308af79b8b59f6f7ae9765dca877fa555feaa383236315cb852f9a18bef9f,46085a9cfad1f7e98afea1dcd7f38908d4214dbb76851eba7fa9d002c4fd0bb8,e78d2d9ed64870effafafc5d6e7cf57c6c1ffad4fe0bd149b2cad82a9ee8198b,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,2d025701ef2b4ebb32e1391b4dd91b4f36a550dbbf96cf2f5af468b055efd1ed,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,47aed8fe18c2496f6445510c5f24ddd8688d1775039614accbd485515a2dca77,156e2cc7518948f0345381e0d66245f34d34bcefb20f1c7b7ef0deca6d77cfaf,,{},random_forest|gradient_boosted_trees|mlp,3,57,C:\Users\Saif malik\MAVS-Ch10B\results\corruption_traces\phase3_locked_full_v1\traces\pure_mavs_gc\feature_noise\breast_cancer_wisconsin__locked_benchmark__feature_noise__level_0p00__shadow_9002.npz,261d0ea52af2524e5e76a593b1a0f8cf2f1ef42c377bc8181fb85576f3621782,57,True,columnar_npz,0430b79fd5a18da0e2f0e5e67d836dcc22f8540144343e61e7e1b86a4ba8d92e
